digit~first~law~phenomenon	('first~digit~phenomenon~law',)
leading~number	('leading~number',)
leading~number~phenomenon	('phenomenon~leading~number',)
digit~leading~number~phenomenon	('digit~phenomenon~leading~number',)
different~digit	('digit~different', 'different~digit')
different~digit~leading	('leading~digit~different',)
different~digit~leading~phenomenon	('phenomenon~leading~digit~different',)
methods	('methods',)
method	('method',)
oeis	('oeis',)
sequence	('sequence',)
sainte-lague	('sainte-lague',)
a055439	('a055439',)
d'hondt	("d'hondt",)
a055440	('a055440',)
largest	('largest',)
remainder	('remainder',)
hare	('hare',)
hare~law	('law~hare',)
hare~law~phenomenological	('phenomenological~law~hare',)
quotas	('quotas',)
a055441	('a055441',)
droop	('droop',)
droop~law	('law~droop',)
droop~law~phenomenological	('phenomenological~law~droop',)
a055442	('a055442',)
descriptive~law	('law~descriptive',)
descriptive~law~phenomenological	('phenomenological~law~descriptive',)
digit~logarithmic	('digit~logarithmic',)
digit~first~logarithmic	('first~digit~logarithmic',)
possessing	('possessing',)
two	('two',)
possessing~two	('possessing~two',)
term	('term',)
bimodal	('bimodal',)
refers	('refers',)
distribution~possessing	('possessing~distribution',)
local	('local',)
